REQUESTSOURCE,MOBILEOS,ZIPCODE,LATITUDE,LONGITUDE,NCNAME,CT10,GEOID10,OBJECTID,Shape_STAr,Shape_STLe,X_Center,Y_Center,Hour,Weekday,Month,DayPartition
Mobile App,iOS,90012,34.05857845,-118.2514586,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,12,5,7,3
Mobile App,iOS,90012,34.05854693,-118.2526945,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,7,2,8,2
Call,,90012,34.05854693,-118.2526945,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,10,3,8,2
Call,,90012,34.05857845,-118.2514586,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,13,3,8,3
Mobile App,iOS,90012,34.05854693,-118.2526945,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,7,4,8,2
Self Service,,90012,34.05891148,-118.2526936,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,10,5,8,2
Mobile App,iOS,90012,34.05854693,-118.2526945,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,7,4,8,2
Mobile App,iOS,90012,34.05545873,-118.2418885,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,15,3,8,3
Mobile App,Android,90012,34.0593377,-118.25187,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,9,5,8,2
Mobile App,iOS,90012,34.05857845,-118.2514586,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,14,5,8,3
Self Service,,90012,34.05545873,-118.2418885,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,11,3,8,3
Mobile App,iOS,90012,34.05325405,-118.2422306,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,10,4,8,2
Self Service,,90012,34.0526038,-118.2413391,HISTORIC CULTURAL NC,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,20,6,8,4
Self Service,,90012,34.05545873,-118.2418885,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,7,4,8,2
Self Service,,90012,34.05857845,-118.2514586,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,8,2,8,2
Mobile App,iOS,90012,34.05446146,-118.2396689,HISTORIC CULTURAL NC,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,14,7,10,3
Self Service,,90012,34.05193231,-118.243461,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,9,5,9,2
Call,,90012,34.05221908,-118.2434191,DOWNTOWN LOS ANGELES,207400,6037207400,692,9358163.285,15170.87063,6487278,1842770,12,5,10,3
Self Service,,90011,34.00908989,-118.2573576,ZAPATA KING NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,13,1,3,3
Mobile App,Android,90011,34.0141958,-118.2647776,SOUTH CENTRAL NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,18,7,9,4
Mobile App,Android,90011,34.01298191,-118.2605323,SOUTH CENTRAL NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,14,1,4,3
Mobile App,Android,90011,34.01333406,-118.2608527,SOUTH CENTRAL NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,10,4,4,2
Call,,90011,34.01430469,-118.2653029,SOUTH CENTRAL NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,12,2,4,3
Mobile App,Android,90011,34.0141958,-118.2647776,SOUTH CENTRAL NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,17,1,4,3
Mobile App,iOS,90011,34.0141958,-118.2647776,SOUTH CENTRAL NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,11,3,5,3
Call,,90011,34.00908816,-118.257452,ZAPATA KING NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,9,1,6,2
Mobile App,iOS,90011,34.0144153,-118.2648713,SOUTH CENTRAL NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,13,5,10,3
Call,,90011,34.00908816,-118.257452,ZAPATA KING NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,10,1,6,2
Mobile App,iOS,90011,34.00970902,-118.2650874,ZAPATA KING NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,12,4,10,3
Call,,90011,34.01264167,-118.259001,SOUTH CENTRAL NC,228310,6037228310,995,5880551.425,11254.25767,6482139,1826617,10,3,8,2
Mobile App,Android,91311,34.2363297,-118.5712071,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,13,1,3,3
Mobile App,iOS,91311,34.2363297,-118.5712071,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,2,2,3,1
Call,,91311,34.23764669,-118.575581,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,8,2,3,2
Mobile App,Android,91311,34.23688558,-118.5712032,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,1,3,3
Self Service,,91311,34.23557262,-118.5653184,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,15,2,3,3
Mobile App,iOS,91311,34.2363297,-118.5712071,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,22,1,3,4
Mobile App,iOS,91311,34.24649108,-118.5967534,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,17,4,3,3
Mobile App,iOS,91311,34.24687283,-118.594281,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,1,9,3
Self Service,,91311,34.24634543,-118.5820221,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,5,2,3
Mobile App,Android,91311,34.24787129,-118.5971975,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,2,3,2
Call,,91311,34.24649108,-118.5967534,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,3,3,3
Mobile App,iOS,91311,34.2479267,-118.5974594,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,1,9,3
Mobile App,iOS,91311,34.24266617,-118.5947775,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,2,9,2
Self Service,,91311,34.24258665,-118.5741697,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,13,1,2,3
Mobile App,iOS,91311,34.24316651,-118.5858867,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,7,1,9,2
Call,,91311,34.24798532,-118.5819033,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,6,4,9,2
Mobile App,iOS,91311,34.24623995,-118.5801459,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,8,1,9,2
Call,,91311,34.23818317,-118.5754163,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,5,3,2
Call,,91311,34.23771822,-118.5708944,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,15,1,3,3
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,16,7,3,3
Mobile App,iOS,91311,34.24649108,-118.5967534,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,7,9,2
Mobile App,iOS,91311,34.24622519,-118.5961377,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,19,3,3,4
Call,,91311,34.24177822,-118.5883919,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,4,9,3
Mobile App,iOS,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,18,5,3,4
Mobile App,iOS,91311,34.24622519,-118.5961377,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,22,1,3,4
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,5,3,3
Self Service,,91311,34.2481816,-118.5850163,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,2,2,3
Mobile App,iOS,91311,34.23636218,-118.5712071,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,1,2,3
Mobile App,Android,91311,34.23819169,-118.5753678,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,18,1,4,4
Mobile App,Android,91311,34.23819169,-118.5753678,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,17,1,4,3
Mobile App,iOS,91311,34.23819169,-118.5753678,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,17,1,4,3
Call,,91311,34.24855946,-118.5974559,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,5,1,2
Mobile App,iOS,91311,34.23619978,-118.5712069,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,17,1,4,3
Self Service,,91311,34.24155631,-118.5843434,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,16,4,4,3
Mobile App,iOS,91311,34.24796924,-118.5845986,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,7,4,3
Mobile App,iOS,91311,34.24818109,-118.5845927,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,8,1,3,2
Mobile App,Android,91311,34.24796924,-118.5845986,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,7,4,3
Mobile App,iOS,91311,34.24818109,-118.5845927,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,8,5,3,2
Mobile App,Android,91311,34.24623995,-118.5801459,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,4,9,2
Mobile App,iOS,91311,34.23819169,-118.5753678,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,3,5,3
Mobile App,iOS,91311,34.23819169,-118.5753678,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,9,2,5,2
Mobile App,iOS,91311,34.23819169,-118.5753678,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,9,2,5,2
Mobile App,iOS,91311,34.2427043,-118.592848,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,22,5,5,4
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,20,5,5,4
Mobile App,iOS,91311,34.23801705,-118.5714747,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,1,5,2
Mobile App,Android,91311,34.23681661,-118.5712035,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,13,1,5,3
Mobile App,iOS,91311,34.23619978,-118.5712069,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,1,5,3
Call,,91311,34.24548984,-118.5927682,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,4,2,3
Mobile App,iOS,91311,34.23909052,-118.5712105,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,1,5,2
Call,,91311,34.24025022,-118.5753362,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,4,3,3
Mobile App,Android,91311,34.23619978,-118.5712069,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,17,1,4,3
Call,,91311,34.24770718,-118.5819817,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,9,4,5,2
Self Service,,91311,34.24572876,-118.5818905,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,5,2,3
Mobile App,iOS,91311,34.24622519,-118.5961377,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,2,3,9,1
Call,,91311,34.23919325,-118.5710948,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,4,3,3
Mobile App,Android,91311,34.24119417,-118.5753232,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,20,2,5,4
Call,,91311,34.24100948,-118.5851219,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,13,2,3,3
Mobile App,iOS,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,16,5,3,3
Mobile App,Android,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,16,5,3,3
Mobile App,iOS,91311,34.23795486,-118.5709766,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,16,5,3,3
Mobile App,iOS,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,16,5,3,3
Mobile App,Android,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,16,5,3,3
Mobile App,iOS,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,19,5,3,4
Mobile App,Android,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,19,5,3,4
Mobile App,iOS,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,6,6,3,2
Mobile App,iOS,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,7,6,3,2
Mobile App,Android,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,13,6,3,3
Mobile App,Android,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,19,7,3,4
Mobile App,iOS,91311,34.24622272,-118.5950766,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,18,7,3,4
Mobile App,iOS,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,22,5,3,4
Mobile App,Android,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,17,5,3,3
Mobile App,iOS,91311,34.23882904,-118.5708128,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,5,3,3
Mobile App,iOS,91311,34.2363297,-118.5712071,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,7,1,3,2
Mobile App,iOS,91311,34.2363297,-118.5712071,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,9,1,3,2
Mobile App,Android,91311,34.24622272,-118.5950766,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,9,1,3,2
Self Service,,91311,34.24160025,-118.5843435,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,20,1,5,4
Self Service,,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,15,3,5,3
Self Service,,91311,34.24761436,-118.5843449,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,13,5,5,3
Mobile App,Android,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,9,6,5,2
Mobile App,iOS,91311,34.23629722,-118.571207,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,19,1,6,4
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,4,6,3
Council's Office,,91311,34.24107799,-118.5862622,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,3,9,3
Mobile App,Android,91311,34.23919325,-118.5710948,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,8,3,6,2
Council's Office,,91311,34.23705953,-118.5711418,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,2,6,2
Mobile App,iOS,91311,34.23801705,-118.5714747,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,1,5,2
Mobile App,iOS,91311,34.23749145,-118.5711423,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,2,5,3
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,7,6,3
Mobile App,Android,91311,34.24623995,-118.5801459,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,18,6,10,4
Self Service,,91311,34.24623995,-118.5801459,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,16,6,10,3
Mobile App,iOS,91311,34.24672877,-118.5945596,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,2,10,3
Mobile App,iOS,91311,34.2498099,-118.5966717,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,3,10,2
Mobile App,iOS,91311,34.24986808,-118.5969642,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,3,10,2
Mobile App,iOS,91311,34.2498099,-118.5966717,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,3,10,2
Mobile App,iOS,91311,34.2498099,-118.5966717,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,3,10,3
Mobile App,Android,91311,34.2498099,-118.5966717,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,3,10,3
Mobile App,Android,91311,34.2498099,-118.5966717,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,15,3,10,3
Council's Office,,91311,34.24622272,-118.5950766,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,3,9,3
Email,,91311,34.24622519,-118.5961377,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,3,10,3
Self Service,,91311,34.24787129,-118.5971975,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,21,3,9,4
Self Service,,91311,34.2479267,-118.5974594,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,7,9,3
Mobile App,iOS,91311,34.24787129,-118.5971975,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,1,10,3
Call,,91311,34.23918967,-118.5754672,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,10,5,3,2
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,13,3,6,3
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,19,2,6,4
Self Service,,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,17,7,6,3
Self Service,,91311,34.23668699,-118.5712075,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,12,2,6,3
Mobile App,iOS,91311,34.2447913,-118.5953196,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,21,7,10,4
Mobile App,iOS,91311,34.2447913,-118.5953196,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,21,7,10,4
Mobile App,iOS,91311,34.23776824,-118.5667854,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,22,1,7,4
Self Service,,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,21,7,7,4
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,22,3,6,4
Mobile App,iOS,91311,34.23619978,-118.5712069,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,21,4,6,4
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,22,1,7,4
Call,,91311,34.23965169,-118.5753355,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,4,6,3
Mobile App,iOS,91311,34.23636368,-118.5669219,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,8,4,7,2
Mobile App,iOS,91311,34.2369578,-118.5672036,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,9,4,7,2
Mobile App,iOS,91311,34.2373912,-118.5715026,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,20,4,7,4
Self Service,,91311,34.24986808,-118.5969642,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,3,10,3
Self Service,,91311,34.24986808,-118.5969642,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,14,3,10,3
Self Service,,91311,34.24623566,-118.5809772,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,17,5,7,3
Mobile App,Android,91311,34.2447913,-118.5953196,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,21,7,10,4
Mobile App,iOS,91311,34.23776824,-118.5667854,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,9,4,7,2
Self Service,,91311,34.24624537,-118.5813935,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,19,2,7,4
Mobile App,iOS,91311,34.2466341,-118.5970845,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,18,4,7,4
Self Service,,91311,34.24224191,-118.5843284,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,20,6,7,4
Mobile App,iOS,91311,34.23556717,-118.565539,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,11,2,7,3
Call,,91311,34.2466341,-118.5970845,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,15,2,8,3
Self Service,,91311,34.24649108,-118.5967534,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,6,1,10,2
Mobile App,iOS,91311,34.24648937,-118.5969333,CHATSWORTH NC,113303,6037113303,487,43922455.89,31052.57633,6386743,1911619,23,3,8,4
